id,course1
1a45910254951a8a55dd65cf4dc24b6d,Анализ неструктурированных данных
54b211907aac0ebbb8f853ab1fc4eecb,Сбор и обработка данных с помощью краудсорсинга
840e108d7366fbf4f985f267c74ad523,Высокопроизводительные вычисления
9a66d84568b8017d98eb2e678b57296b,Глубинное обучение в обработке звука
9a66d84568b8017d98eb2e678b57296b,Анализ неструктурированных данных
fc8b84c5df1ea8bf6e5da51945124d57,Высокопроизводительные вычисления
fc8b84c5df1ea8bf6e5da51945124d57,Байесовские методы машинного обучения
addc4cb9d1641fa3f5dc02329c7e8d6c,Моделирование временных рядов
e0fceae1e285f737630bb6123a1bd85d,Высокопроизводительные вычисления
9abd31fe9761b5abd56524915237c1ea,Матричные вычисления
4b019ecb89626c8752a1d962b63c8a4b,Язык SQL
0d85933f07516e8871e9415c1d95ddbe,Высокопроизводительные вычисления
8cc921fb155319d983cf72e9a6e8caa8,Statistical Learning Theory
8cc921fb155319d983cf72e9a6e8caa8,Высокопроизводительные вычисления
c3c0a0524bae841e5f9a56cf967cd423,Моделирование временных рядов
f602211b88a96890ce75e36a390705b8,Анализ неструктурированных данных
f602211b88a96890ce75e36a390705b8,Глубинное обучение в обработке звука
9015b809a29fb65ce23d7addf16d770d,Язык SQL
9015b809a29fb65ce23d7addf16d770d,Моделирование временных рядов
82bc94a50a6c08a67ad9bf3d9791c459,Моделирование временных рядов
abceddfa2fc4eae8cff4a4e712abb3fb,Моделирование временных рядов
22eda17f96bbf2d0fb857453e6101160,Анализ неструктурированных данных
a69948a1730e412eab71a4d4e70791e2,Моделирование временных рядов
80a0660d40d5e2f3e3b9bb8a4383db74,Statistical Learning Theory
1d30f1c70a51faa60f497fe959851731,Глубинное обучение в обработке звука
1d30f1c70a51faa60f497fe959851731,Анализ неструктурированных данных
e83471de8976e4fcfccf4ef417f07192,Сбор и обработка данных с помощью краудсорсинга
3eb1a783e55b0dd8bd2fa69eeeeecd4e,Высокопроизводительные вычисления
876b1fbacdfe36cb2e3927aea554b1ff,Сбор и обработка данных с помощью краудсорсинга
876b1fbacdfe36cb2e3927aea554b1ff,Моделирование временных рядов
f2d210ace25a841e1e58036b257d5d47,Анализ неструктурированных данных
ffc58d371e2f52e1c7f45d49d3d629d0,Матричные вычисления
83981d0841bbb56201e68b2cba8dd87d,Высокопроизводительные вычисления
f0f01fe07310ce6f403894eb624ac323,Высокопроизводительные вычисления
842a87d59de90b711fe3266830fe608c,Высокопроизводительные вычисления
2f8a48924249d2231659183d7654ed33,Высокопроизводительные вычисления
796d174c592006376963b8f31e818dbf,Моделирование временных рядов
f36d508e6129c7b248cc707b71c2a551,Statistical Learning Theory
f36d508e6129c7b248cc707b71c2a551,Сбор и обработка данных с помощью краудсорсинга
db450211a009799155ed6494957be8c7,Анализ неструктурированных данных
db450211a009799155ed6494957be8c7,Глубинное обучение в обработке звука
f736e00dc03850c59649e77149895d5a,Высокопроизводительные вычисления
31c9900033ce01dd1365a6b6a350c3bb,Глубинное обучение в обработке звука
31c9900033ce01dd1365a6b6a350c3bb,Анализ неструктурированных данных
348562c4a55053de25fdd4389b9f1181,Моделирование временных рядов
757ce29d3647ee4aff21bc1a62849805,Анализ неструктурированных данных
757ce29d3647ee4aff21bc1a62849805,Глубинное обучение в обработке звука
5ab47e4eef1a7c1899da4da200049038,Моделирование временных рядов
5ab47e4eef1a7c1899da4da200049038,Матричные вычисления
5bb63d6635c5f4c530b727fe1d6d84bf,Глубинное обучение в обработке звука
1eafb63c510c305e325bff51d246adb1,Сбор и обработка данных с помощью краудсорсинга
26b01b1c4cd5656bab18d24c548834fb,Высокопроизводительные вычисления
04bcb5c9d23813ffa940e1febb27fadc,Теория баз данных
ea682b140a15d40156a00aaf0234a91e,Анализ неструктурированных данных
9808df02cd92ed45df39e6bc748f3179,Statistical Learning Theory
25a3ce0eea214df2aa6d25d395d594f0,Моделирование временных рядов
5a9b8ac11ad05b39a58b0e04a263bf4c,Глубинное обучение в обработке звука
5a9b8ac11ad05b39a58b0e04a263bf4c,Statistical Learning Theory
73fc0f1b300e6e49167b5f771586fe20,Высокопроизводительные вычисления
976376a468b8f4d1e3c48f7acb29c2e4,Анализ неструктурированных данных
976376a468b8f4d1e3c48f7acb29c2e4,Байесовские методы машинного обучения
6b3d72def53597696afb19faed1f8365,Statistical Learning Theory
29d0fcf21c4db938fae688bb09078f8d,Анализ неструктурированных данных
29d0fcf21c4db938fae688bb09078f8d,Сбор и обработка данных с помощью краудсорсинга
c7f347b466ff14ec85103f61c4d6ff8e,Язык SQL
fc2c60b8004aa91bc272df84628621ff,Язык SQL
1021c681cf4b273ed4905d431e4c17ce,Сбор и обработка данных с помощью краудсорсинга
